Coefficient,Value
C0,4.671712306947072
C1,-1.5431833982420622
C2,0.8868971828232366
C3,-0.060977879391849336
C4,0.09452135147988665
C5,-0.024814484104503855
C6,4.671712306947072
C7,-3.0114013456649285
C8,3.215687684973343
C9,0.5382847604883916
C10,-0.491742059727556
C11,0.06058792064427801
C12,4.995856153473536
C13,-1.5431833982420622
C14,0.8868971828232366
C15,-0.060977879391849336
C16,0.09452135147988665
C17,-0.024814484104503855
C18,4.995856153473536
C19,-3.0114013456649285
C20,3.215687684973343
C21,0.5382847604883916
C22,-0.491742059727556
C23,0.06058792064427801
C0,8.005925626970347
C1,2.934435611265785
C2,-5.8058660151531365
C3,4.529616494337422
C4,-1.2269200447910817
C5,0.10917845919155597
C6,14.005925626970347
C7,-0.2543501048593476
C8,2.8584241045794716
C9,-3.247247176748134
C10,0.989563980027269
C11,-0.09397811145544918
C12,8.483363165242844
C13,3.1099813244499654
C14,-6.33776212193734
C15,4.90081240216342
C16,-1.332887910897388
C17,0.12017131809682603
C18,14.5
C19,-1.1893982367922395
C20,4.812455044650312
C21,-4.670154810232495
C22,1.4096594665660216
C23,-0.13719367586015152
C0,14.553515820332414
C1,-3.0802656813603546
C2,5.966188192582417
C3,-4.6271562920277365
C4,1.2629231448772558
C5,-0.11413327679779278
C6,8.241450367769751
C7,1.8005393956023938
C8,-4.212730984425509
C9,3.791345382861984
C10,-1.1006082692655699
C11,0.10311257737217902
C12,14.998098477050728
C13,-2.7103045173154108
C14,5.190620464278043
C15,-4.131308379210756
C16,1.1280898877025562
C17,-0.1006261149122928
C18,8.728507744837161
C19,1.8964137931564835
C20,-4.428732283781988
C21,3.853745524391871
C22,-1.0957677861114825
C23,0.10100801947909714
C0,8.005925626970347
C1,2.934435611265785
C2,-5.8058660151531365
C3,4.529616494337422
C4,-1.2269200447910817
C5,0.10917845919155597
C6,14.005925626970347
C7,-0.2543501048593476
C8,2.8584241045794716
C9,-3.247247176748134
C10,0.989563980027269
C11,-0.09397811145544918
C12,8.483363165242844
C13,3.1099813244499654
C14,-6.33776212193734
C15,4.90081240216342
C16,-1.332887910897388
C17,0.12017131809682603
C18,14.5
C19,-1.1893982367922395
C20,4.812455044650312
C21,-4.670154810232495
C22,1.4096594665660216
C23,-0.13719367586015152
C0,14.021731147348007
C1,1.904758516314927
C2,-2.702545957214588
C3,1.66526328575937
C4,-0.3726616106622798
C5,0.027779514932732084
C6,8.61838426148632
C7,-2.9337376624178813
C8,3.8861316051978694
C9,-0.6950991655237365
C10,-0.02114690945134598
C11,0.008652487563897467
C12,14.491958414065804
C13,1.976281377845217
C14,-2.875086912957648
C15,1.7482768139804759
C16,-0.3887992708657139
C17,0.028916666233832055
C18,8.978268852651993
C19,-3.0499506435371244
C20,4.0997527552544595
C21,-0.7938092051652664
C22,-0.002267579815309841
C23,0.007333768750704609
