Coefficient,Value
C0,0.00036894234551734914
C1,-0.0738890004782762
C2,0.1646912505770959
C3,-0.03517871896042093
C4,0.002739155278282253
C5,-6.943167922872713e-05
C6,0.2892621153089653
C7,0.046170363097590414
C8,-0.21034184563448372
C9,0.06741700459346343
C10,-0.006321304514140987
C11,0.00018730792433734012
C12,0.5498613789589474
C13,-0.30049668534314766
C14,-0.007004651264414019
C15,0.021027326878921344
C16,-0.001965468245481655
C17,4.7832951191546527e-05
C18,0.3107378846910347
C19,-0.0881973280387637
C20,0.19659983457138647
C21,-0.0420409128046474
C22,0.003304059224972961
C23,-8.589518222882062e-05
C24,0.5996310576544827
C25,0.046170363097590414
C26,-0.21034184563448372
C27,0.06741700459346343
C28,-0.006321304514140987
C29,0.00018730792433734012
C30,0.8602303213044648
C31,-0.30049668534314766
C32,-0.007004651264414019
C33,0.021027326878921344
C34,-0.001965468245481655
C35,4.7832951191546527e-05
