Coefficient,Value
C0,-0.101844022
C1,-0.333148002
C2,0.308496903
C3,-0.064862192
C4,0.005248873
C5,-0.00014309
C6,-0.101844022
C7,-0.187087023
C8,0.175961072
C9,-0.030842657
C10,0.002365029
C11,-6.59916E-05
C12,0.298155978
C13,-0.029639019
C14,0.064875592
C15,-0.01171127
C16,0.001049317
C17,-3.39804E-05
C18,0.399077989
C19,-0.337676562
C20,0.319117083
C21,-0.068160828
C22,0.005599855
C23,-0.000154988
C24,0.399077989
C25,-0.187087023
C26,0.175961072
C27,-0.030842657
C28,0.002365029
C29,-6.59916E-05
C30,0.799077989
C31,-0.029639019
C32,0.064875592
C33,-0.01171127
C34,0.001049317
C35,-3.39804E-05
